#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.644       0.347       1.361      -0.000       0.000       0.000       0.200
#--------Waypoint:     7.701       1.349       1.553       0.992       0.152       0.192       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,   -0.00000,    0.31173,Segment:  1
   0.30950,    0.47167,    1.52400,    0.07299,    0.00087,    0.02419,    0.35108,Segment:  2
   0.43139,    0.65744,    1.52400,    0.14176,    0.00339,    0.04957,    0.38547,Segment:  3
   0.52131,    0.79447,    1.52400,    0.20690,    0.00746,    0.07560,    0.41046,Segment:  4
   0.59464,    0.90623,    1.52400,    0.26901,    0.01298,    0.10162,    0.42144,Segment:  5
   0.71344,    1.08729,    1.52400,    0.38649,    0.02790,    0.15034,    0.38771,Segment:  6
   0.81160,    1.23688,   -1.49133,    0.49891,    0.04727,    0.18900,    0.27899,Segment:  7
   0.90992,    1.09026,   -1.52400,    0.61097,    0.07024,    0.21245,    0.12908,Segment:  8
   1.02924,    0.90842,   -1.52400,    0.72741,    0.09594,    0.21909,   -0.01099,Segment:  9
   1.10295,    0.79608,   -1.52400,    0.78875,    0.10953,    0.21662,   -0.06528,Segment:  10
   1.19328,    0.65842,   -1.52400,    0.85294,    0.12348,    0.21089,   -0.10638,Segment:  11
   1.31557,    0.47205,   -1.52400,    0.92059,    0.13768,    0.20249,   -0.13446,Segment:  12
   1.62532,    0.00000,   -1.52400,    0.99228,    0.15201,    0.19199,   -0.15092,Segment:  13
#======= TRAJECTORY END: DionisioPAE
