#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     5.109       1.966      -0.925       0.000       0.000       0.000       0.200
#--------Waypoint:     7.701       1.349       1.553       2.053       1.700       2.478       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,    0.61196,Segment:  1
   0.36606,    0.55788,    1.52400,    0.10207,    0.00301,    0.05740,    0.51714,Segment:  2
   0.52293,    0.79695,    1.52400,    0.20796,    0.01188,    0.10832,    0.44470,Segment:  3
   0.64644,    0.98518,    1.52400,    0.31706,    0.02633,    0.15407,    0.38940,Segment:  4
   0.75281,    1.14728,    1.52400,    0.42874,    0.04611,    0.19573,    0.34735,Segment:  5
   0.84815,    1.29258,    1.52400,    0.54236,    0.07095,    0.23419,    0.31569,Segment:  6
   0.93549,    1.42568,    1.52400,    0.65730,    0.10060,    0.27020,    0.29237,Segment:  7
   1.01655,    1.54923,    1.52400,    0.77294,    0.13479,    0.30440,    0.27593,Segment:  8
   1.09242,    1.66485,    1.52400,    0.88863,    0.17325,    0.33735,    0.26539,Segment:  9
   1.16381,    1.77364,    1.52400,    1.00377,    0.21574,    0.36954,    0.26015,Segment:  10
   1.23119,    1.87633,    1.52400,    1.11772,    0.26198,    0.40147,    0.25991,Segment:  11
   1.29491,    1.97345,    1.52400,    1.22984,    0.31171,    0.43359,    0.26467,Segment:  12
   1.35523,    2.06537,    1.52400,    1.33953,    0.36468,    0.46639,    0.27473,Segment:  13
   1.41232,    2.15237,    1.03895,    1.44613,    0.42062,    0.50036,    0.29069,Segment:  14
   1.46663,    2.20880,   -1.52400,    1.54904,    0.47926,    0.53607,    0.31355,Segment:  15
   1.52013,    2.12728,   -1.52400,    1.64762,    0.54036,    0.57415,    0.34480,Segment:  16
   1.57430,    2.04473,   -1.52400,    1.74124,    0.60363,    0.61535,    0.38655,Segment:  17
   1.62899,    1.96137,   -1.52400,    1.82927,    0.66883,    0.66057,    0.44176,Segment:  18
   1.68404,    1.87748,   -1.52400,    1.91110,    0.73569,    0.71090,    0.51454,Segment:  19
   1.73929,    1.79328,   -1.52400,    1.98608,    0.80395,    0.76768,    0.61047,Segment:  20
   1.79458,    1.70901,   -1.52400,    2.05360,    0.87335,    0.83259,    0.73691,Segment:  21
   1.84979,    1.62488,   -1.52400,    2.11303,    0.94362,    0.90766,    0.90296,Segment:  22
   1.87734,    1.58288,   -1.52400,    2.13951,    0.97900,    0.94974,    1.00398,Segment:  23
   1.90486,    1.54095,   -1.52400,    2.16373,    1.01451,    0.99530,    1.11853,Segment:  24
   1.93234,    1.49906,   -1.52400,    2.18561,    1.05010,    1.04466,    1.24741,Segment:  25
   1.95982,    1.45718,   -1.52400,    2.20508,    1.08575,    1.09818,    1.39079,Segment:  26
   1.98733,    1.41527,   -1.52400,    2.22205,    1.12141,    1.15617,    1.54783,Segment:  27
   2.01491,    1.37323,   -1.52400,    2.23645,    1.15707,    1.21890,    1.71613,Segment:  28
   2.04265,    1.33096,   -1.52400,    2.24820,    1.19269,    1.28653,    1.89124,Segment:  29
   2.07064,    1.28829,   -1.52400,    2.25722,    1.22823,    1.35910,    2.06619,Segment:  30
   2.09904,    1.24501,   -1.52400,    2.26343,    1.26366,    1.43645,    2.23130,Segment:  31
   2.12803,    1.20084,   -1.52400,    2.26675,    1.29895,    1.51819,    2.37469,Segment:  32
   2.15784,    1.15541,   -1.52400,    2.26711,    1.33407,    1.60364,    2.48353,Segment:  33
   2.17314,    1.13208,   -1.52400,    2.26615,    1.35155,    1.64747,    2.52120,Segment:  34
   2.18878,    1.10826,   -1.52400,    2.26442,    1.36898,    1.69186,    2.54605,Segment:  35
   2.20479,    1.08386,   -1.52400,    2.26192,    1.38634,    1.73666,    2.55718,Segment:  36
   2.22123,    1.05880,   -1.52400,    2.25862,    1.40365,    1.78170,    2.55407,Segment:  37
   2.23817,    1.03299,   -1.52400,    2.25452,    1.42088,    1.82682,    2.53657,Segment:  38
   2.25567,    1.00630,   -1.52400,    2.24961,    1.43804,    1.87184,    2.50496,Segment:  39
   2.27383,    0.97863,   -1.52400,    2.24388,    1.45513,    1.91660,    2.45993,Segment:  40
   2.29274,    0.94982,   -1.52400,    2.23732,    1.47214,    1.96094,    2.40251,Segment:  41
   2.33322,    0.88812,   -1.52400,    2.22168,    1.50589,    2.04773,    2.25611,Segment:  42
   2.37826,    0.81949,   -1.52400,    2.20260,    1.53928,    2.13115,    2.07866,Segment:  43
   2.42949,    0.74142,   -1.52400,    2.18000,    1.57226,    2.21040,    1.88397,Segment:  44
   2.48954,    0.64990,   -1.52400,    2.15381,    1.60481,    2.28492,    1.68460,Segment:  45
   2.56336,    0.53740,   -1.52400,    2.12395,    1.63689,    2.35443,    1.49041,Segment:  46
   2.66335,    0.38501,   -1.52400,    2.09035,    1.66846,    2.41888,    1.30824,Segment:  47
   2.91598,    0.00000,   -1.52400,    2.05291,    1.69950,    2.47837,    1.14205,Segment:  48
#======= TRAJECTORY END: DionisioPAE
