#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.076       1.214       0.681       0.000       0.000       0.000       0.200
#--------Waypoint:     5.109       1.966      -0.925       3.608      -1.954      -1.606       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -0.07770,Segment:  1
   0.31829,    0.48507,    1.52400,    0.07720,   -0.00023,   -0.00609,   -0.07998,Segment:  2
   0.45087,    0.68712,    1.52400,    0.15490,   -0.00095,   -0.01239,   -0.08240,Segment:  3
   0.55304,    0.84283,    1.52400,    0.23305,   -0.00217,   -0.01893,   -0.08497,Segment:  4
   0.63949,    0.97458,    1.52400,    0.31158,   -0.00393,   -0.02571,   -0.08769,Segment:  5
   0.71589,    1.09102,    1.52400,    0.39046,   -0.00623,   -0.03275,   -0.09058,Segment:  6
   0.78514,    1.19655,    1.52400,    0.46961,   -0.00911,   -0.04004,   -0.09365,Segment:  7
   0.84895,    1.29380,    1.52400,    0.54899,   -0.01259,   -0.04761,   -0.09691,Segment:  8
   0.90842,    1.38444,    1.52400,    0.62853,   -0.01669,   -0.05547,   -0.10039,Segment:  9
   0.96434,    1.46965,    1.52400,    0.70818,   -0.02144,   -0.06362,   -0.10408,Segment:  10
   1.01725,    1.55028,    1.52400,    0.78788,   -0.02685,   -0.07209,   -0.10802,Segment:  11
   1.06756,    1.62696,    1.52400,    0.86758,   -0.03296,   -0.08089,   -0.11222,Segment:  12
   1.11561,    1.70019,    1.52400,    0.94722,   -0.03978,   -0.09004,   -0.11670,Segment:  13
   1.16164,    1.77035,    1.52400,    1.02675,   -0.04734,   -0.09955,   -0.12148,Segment:  14
   1.20587,    1.83775,    1.52400,    1.10610,   -0.05566,   -0.10944,   -0.12658,Segment:  15
   1.24846,    1.90265,    1.52400,    1.18522,   -0.06476,   -0.11974,   -0.13202,Segment:  16
   1.28954,    1.96526,    1.52400,    1.26406,   -0.07467,   -0.13046,   -0.13784,Segment:  17
   1.32925,    2.02577,    1.52400,    1.34255,   -0.08541,   -0.14162,   -0.14406,Segment:  18
   1.36766,    2.08432,    1.52400,    1.42065,   -0.09701,   -0.15326,   -0.15072,Segment:  19
   1.40489,    2.14105,    1.52400,    1.49829,   -0.10948,   -0.16539,   -0.15784,Segment:  20
   1.44099,    2.19606,    1.52400,    1.57543,   -0.12285,   -0.17804,   -0.16546,Segment:  21
