#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.644       1.311      -1.536       0.000       0.000       0.000       0.200
#--------Waypoint:     7.644       0.385      -1.588       0.925      -0.032      -0.052       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -0.06290,Segment:  1
   0.29720,    0.45293,    1.52400,    0.06730,   -0.00015,   -0.00456,   -0.07281,Segment:  2
   0.41433,    0.63144,    1.52400,    0.13081,   -0.00059,   -0.00949,   -0.08242,Segment:  3
   0.57120,    0.87051,    1.52400,    0.24861,   -0.00232,   -0.02014,   -0.09709,Segment:  4
   0.68520,    1.04425,    1.52400,    0.35771,   -0.00511,   -0.03099,   -0.09903,Segment:  5
   0.77914,    1.18741,   -1.52259,    0.46246,   -0.00888,   -0.04072,   -0.08379,Segment:  6
   0.87308,    1.04437,   -1.52400,    0.56719,   -0.01356,   -0.04808,   -0.05524,Segment:  7
   0.98711,    0.87060,   -1.52400,    0.67622,   -0.01907,   -0.05235,   -0.02382,Segment:  8
   1.14401,    0.63148,   -1.52400,    0.79390,   -0.02534,   -0.05358,    0.00101,Segment:  9
   1.26116,    0.45294,   -1.52400,    0.85733,   -0.02873,   -0.05323,    0.00960,Segment:  10
   1.55837,    0.00000,   -1.52400,    0.92454,   -0.03229,   -0.05236,    0.01568,Segment:  11
#======= TRAJECTORY END: DionisioPAE
