#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.644       1.311      -1.536       0.000       0.000       0.000       0.200
#--------Waypoint:     5.089       1.947       1.134      -0.725      -2.531       2.670       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -1.80914,Segment:  1
   0.17872,    0.27237,    1.52400,    0.02433,   -0.00055,   -0.04551,   -1.93094,Segment:  2
   0.25109,    0.38265,    1.52400,    0.04798,   -0.00218,   -0.09270,   -2.05089,Segment:  3
   0.30559,    0.46572,    1.52400,    0.07094,   -0.00487,   -0.14146,   -2.16634,Segment:  4
   0.35077,    0.53457,    1.52400,    0.09322,   -0.00862,   -0.19165,   -2.27437,Segment:  5
   0.38998,    0.59432,    1.52400,    0.11483,   -0.01339,   -0.24309,   -2.37194,Segment:  6
   0.42496,    0.64765,    1.52400,    0.13578,   -0.01916,   -0.29557,   -2.45608,Segment:  7
   0.45679,    0.69614,    1.52400,    0.15606,   -0.02593,   -0.34885,   -2.52409,Segment:  8
   0.48615,    0.74089,    1.52400,    0.17569,   -0.03367,   -0.40266,   -2.57374,Segment:  9
   0.51354,    0.78264,    1.52400,    0.19466,   -0.04236,   -0.45672,   -2.60346,Segment:  10
   0.53935,    0.82196,    1.52400,    0.21298,   -0.05199,   -0.51075,   -2.61248,Segment:  11
   0.56384,    0.85929,    1.52400,    0.23067,   -0.06254,   -0.56446,   -2.60084,Segment:  12
   0.58725,    0.89496,    1.52400,    0.24772,   -0.07398,   -0.61758,   -2.56944,Segment:  13
   0.60975,    0.92926,    1.52400,    0.26413,   -0.08630,   -0.66984,   -2.51989,Segment:  14
   0.63149,    0.96240,    1.52400,    0.27992,   -0.09948,   -0.72103,   -2.45438,Segment:  15
   0.65261,    0.99457,    1.52400,    0.29509,   -0.11350,   -0.77094,   -2.37549,Segment:  16
   0.67318,    1.02593,    1.52400,    0.30964,   -0.12834,   -0.81941,   -2.28599,Segment:  17
