#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     1.076       1.176       0.873       0.000       0.000       0.000       0.200
#--------Waypoint:     5.089       1.947      -2.164       3.171      -2.579      -3.037       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -0.60068,Segment:  1
   0.31943,    0.48681,    1.52400,    0.07773,   -0.00175,   -0.04407,   -0.53460,Segment:  2
   0.45498,    0.69340,    1.52400,    0.15756,   -0.00691,   -0.08447,   -0.47716,Segment:  3
   0.56116,    0.85520,    1.52400,    0.23933,   -0.01540,   -0.12160,   -0.42741,Segment:  4
   0.65241,    0.99428,    1.52400,    0.32290,   -0.02709,   -0.15580,   -0.38442,Segment:  5
   0.73428,    1.11904,    1.52400,    0.40813,   -0.04188,   -0.18740,   -0.34729,Segment:  6
   0.80955,    1.23376,    1.52400,    0.49488,   -0.05968,   -0.21670,   -0.31524,Segment:  7
   0.87986,    1.34091,    1.52400,    0.58300,   -0.08036,   -0.24395,   -0.28755,Segment:  8
   0.94625,    1.44208,    1.52400,    0.67234,   -0.10382,   -0.26937,   -0.26362,Segment:  9
   1.00941,    1.53834,    1.52400,    0.76276,   -0.12996,   -0.29319,   -0.24293,Segment:  10
   1.06985,    1.63045,    1.52400,    0.85411,   -0.15868,   -0.31557,   -0.22502,Segment:  11
   1.12794,    1.71897,    1.52400,    0.94626,   -0.18985,   -0.33669,   -0.20953,Segment:  12
   1.18394,    1.80433,    1.52400,    1.03906,   -0.22339,   -0.35668,   -0.19614,Segment:  13
   1.23809,    1.88685,    1.52400,    1.13235,   -0.25918,   -0.37569,   -0.18459,Segment:  14
   1.29053,    1.96677,    1.52400,    1.22601,   -0.29711,   -0.39382,   -0.17465,Segment:  15
   1.34140,    2.04429,    1.52400,    1.31987,   -0.33708,   -0.41120,   -0.16614,Segment:  16
   1.39081,    2.11959,    1.52400,    1.41381,   -0.37899,   -0.42790,   -0.15891,Segment:  17
   1.43883,    2.19278,    1.52400,    1.50767,   -0.42272,   -0.44403,   -0.15284,Segment:  18
   1.48554,    2.26396,    1.52400,    1.60131,   -0.46817,   -0.45967,   -0.14782,Segment:  19
