#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.352       1.554      -2.635       0.000       0.000       0.000       0.200
#--------Waypoint:     5.128       2.525       2.007       2.349      -2.411      -1.641       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -0.39271,Segment:  1
   0.40586,    0.61853,    1.52400,    0.12548,   -0.00311,   -0.04957,   -0.39697,Segment:  2
   0.57245,    0.87241,    1.52400,    0.24932,   -0.01232,   -0.09911,   -0.40066,Segment:  3
   0.69934,    1.06580,    1.52400,    0.37136,   -0.02751,   -0.14859,   -0.40386,Segment:  4
   0.80562,    1.22776,    1.52400,    0.49141,   -0.04852,   -0.19799,   -0.40667,Segment:  5
   0.89870,    1.36961,    1.52400,    0.60930,   -0.07521,   -0.24730,   -0.40918,Segment:  6
   0.98240,    1.49717,    1.52400,    0.72487,   -0.10743,   -0.29654,   -0.41148,Segment:  7
   1.05900,    1.61392,    1.52400,    0.83794,   -0.14504,   -0.34571,   -0.41366,Segment:  8
   1.13000,    1.72212,    1.52400,    0.94834,   -0.18789,   -0.39483,   -0.41580,Segment:  9
   1.19643,    1.82335,    1.52400,    1.05590,   -0.23584,   -0.44392,   -0.41798,Segment:  10
   1.25904,    1.91878,    1.52400,    1.16044,   -0.28874,   -0.49303,   -0.42026,Segment:  11
   1.31843,    2.00928,    1.52400,    1.26179,   -0.34645,   -0.54219,   -0.42269,Segment:  12
   1.37502,    2.09553,    1.52400,    1.35978,   -0.40881,   -0.59145,   -0.42531,Segment:  13
   1.42919,    2.17808,    1.52400,    1.45424,   -0.47570,   -0.64084,   -0.42815,Segment:  14
   1.48122,    2.25738,    1.52400,    1.54500,   -0.54695,   -0.69042,   -0.43120,Segment:  15
   1.53135,    2.33378,    1.23815,    1.63188,   -0.62244,   -0.74024,   -0.43446,Segment:  16
   1.57994,    2.39394,   -1.52400,    1.71472,   -0.70200,   -0.79034,   -0.43789,Segment:  17
   1.62860,    2.31979,   -1.52400,    1.79333,   -0.78550,   -0.84077,   -0.44146,Segment:  18
   1.67882,    2.24325,   -1.52400,    1.86755,   -0.87278,   -0.89156,   -0.44508,Segment:  19
   1.73080,    2.16403,   -1.52400,    1.93721,   -0.96372,   -0.94276,   -0.44866,Segment:  20
   1.78478,    2.08177,   -1.52400,    2.00213,   -1.05815,   -0.99438,   -0.45211,Segment:  21
   1.84105,    1.99601,   -1.52400,    2.06214,   -1.15594,   -1.04644,   -0.45529,Segment:  22
   1.89998,    1.90621,   -1.52400,    2.11707,   -1.25693,   -1.09895,   -0.45806,Segment:  23
   1.96201,    1.81167,   -1.52400,    2.16674,   -1.36100,   -1.15191,   -0.46025,Segment:  24
   2.02773,    1.71152,   -1.52400,    2.21099,   -1.46798,   -1.20529,   -0.46172,Segment:  25
   2.09791,    1.60456,   -1.52400,    2.24965,   -1.57773,   -1.25907,   -0.46228,Segment:  26
   2.17361,    1.48920,   -1.52400,    2.28253,   -1.69011,   -1.31319,   -0.46177,Segment:  27
   2.25633,    1.36312,   -1.52400,    2.30948,   -1.80498,   -1.36759,   -0.46005,Segment:  28
   2.34840,    1.22281,   -1.52400,    2.33030,   -1.92218,   -1.42219,   -0.45697,Segment:  29
   2.45367,    1.06238,   -1.52400,    2.34485,   -2.04158,   -1.47690,   -0.45243,Segment:  30
   2.57962,    0.87044,   -1.52400,    2.35293,   -2.16303,   -1.53162,   -0.44635,Segment:  31
   2.74539,    0.61779,   -1.52400,    2.35439,   -2.28638,   -1.58623,   -0.43870,Segment:  32
   3.15077,    0.00000,   -1.52400,    2.34904,   -2.41148,   -1.64061,   -0.42950,Segment:  33
#======= TRAJECTORY END: DionisioPAE
