#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.352       1.554      -2.426       0.000       0.000       0.000       0.200
#--------Waypoint:     7.087       2.216       2.007       0.520      -1.329      -1.850       0.200
#--------Waypoint:     5.320       3.021      -2.723       1.326      -3.095      -0.297       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,   -0.00000,   -1.25188,Segment:  1
   0.26060,    0.39715,    1.52400,    0.05172,   -0.00178,   -0.07079,   -1.49094,Segment:  2
   0.36266,    0.55269,    1.52400,    0.09990,   -0.00705,   -0.14931,   -1.75398,Segment:  3
   0.43745,    0.66668,    1.52400,    0.14467,   -0.01572,   -0.23549,   -2.02734,Segment:  4
   0.46911,    0.71492,    1.52400,    0.16581,   -0.02131,   -0.28130,   -2.16128,Segment:  5
   0.49804,    0.75901,    1.52400,    0.18615,   -0.02770,   -0.32875,   -2.28886,Segment:  6
   0.52477,    0.79975,    1.52400,    0.20570,   -0.03491,   -0.37768,   -2.40625,Segment:  7
   0.54969,    0.83773,    1.52400,    0.22447,   -0.04290,   -0.42786,   -2.50954,Segment:  8
   0.57311,    0.87342,    1.52400,    0.24249,   -0.05168,   -0.47903,   -2.59498,Segment:  9
   0.59527,    0.90720,    1.52400,    0.25976,   -0.06122,   -0.53091,   -2.65929,Segment:  10
   0.61638,    0.93936,    1.52400,    0.27630,   -0.07152,   -0.58318,   -2.69993,Segment:  11
   0.63660,    0.97018,    1.52400,    0.29213,   -0.08257,   -0.63549,   -2.71540,Segment:  12
   0.65607,    0.99985,    1.52400,    0.30726,   -0.09435,   -0.68752,   -2.70528,Segment:  13
   0.67491,    1.02856,    1.52400,    0.32171,   -0.10686,   -0.73893,   -2.67034,Segment:  14
   0.69323,    1.05648,    1.52400,    0.33550,   -0.12007,   -0.78941,   -2.61240,Segment:  15
   0.71111,    1.08373,    1.52400,    0.34863,   -0.13398,   -0.83868,   -2.53413,Segment:  16
   0.72863,    1.11044,    1.52400,    0.36114,   -0.14859,   -0.88651,   -2.43882,Segment:  17
   0.74586,    1.13669,    1.52400,    0.37302,   -0.16387,   -0.93268,   -2.33009,Segment:  18
   0.77964,    1.18816,    1.52400,    0.39499,   -0.19640,   -1.01948,   -2.08676,Segment:  19
   0.81280,    1.23871,    1.52400,    0.41467,   -0.23151,   -1.09831,   -1.83037,Segment:  20
   0.84561,    1.28871,    1.52400,    0.43219,   -0.26908,   -1.16896,   -1.58054,Segment:  21
   0.87823,    1.33843,    1.52400,    0.44768,   -0.30904,   -1.23163,   -1.34945,Segment:  22
   0.91078,    1.38803,    1.52400,    0.46125,   -0.35128,   -1.28681,   -1.14299,Segment:  23
   0.94332,    1.43761,    1.52400,    0.47303,   -0.39572,   -1.33509,   -0.96269,Segment:  24
   1.00847,    1.53691,    1.52400,    0.49172,   -0.49080,   -1.41356,   -0.67482,Segment:  25
   1.07374,    1.63639,    1.52400,    0.50476,   -0.59354,   -1.47193,   -0.46569,Segment:  26
   1.13897,    1.73579,    1.52400,    0.51315,   -0.70320,   -1.51425,   -0.31302,Segment:  27
   1.20391,    1.83476,    1.52400,    0.51787,   -0.81903,   -1.54358,   -0.19905,Segment:  28
   1.26829,    1.93287,    1.52400,    0.51994,   -0.94030,   -1.56213,   -0.11104,Segment:  29
   1.33186,    2.02975,    1.52400,    0.52035,   -1.06625,   -1.57148,   -0.04012,Segment:  30
   1.36327,    2.07762,    1.52400,    0.52024,   -1.13075,   -1.57305,   -0.00907,Segment:  31
   1.39439,    2.12505,    1.52400,    0.52010,   -1.19615,   -1.57269,    0.01988,Segment:  32
   1.42520,    2.17200,    1.52400,    0.52004,   -1.26234,   -1.57046,    0.04722,Segment:  33
   1.45568,    2.21845,    1.52400,    0.52019,   -1.32925,   -1.56642,    0.07338,Segment:  34
   1.48580,    2.26435,    1.52400,    0.52067,   -1.39676,   -1.56068,    0.09662,Segment:  35
   1.51553,    2.30967,    1.52400,    0.52160,   -1.46476,   -1.55332,    0.11971,Segment:  36
   1.54485,    2.35435,    0.10652,    0.52309,   -1.53312,   -1.54434,    0.14303,Segment:  37
   1.57398,    2.35746,   -1.52400,    0.52526,   -1.60170,   -1.53371,    0.16692,Segment:  38
   1.60342,    2.31258,   -1.52400,    0.52822,   -1.67039,   -1.52139,    0.19172,Segment:  39
   1.63346,    2.26681,   -1.52400,    0.53209,   -1.73906,   -1.50731,    0.21774,Segment:  40
   1.66408,    2.22015,   -1.52400,    0.53698,   -1.80757,   -1.49142,    0.24532,Segment:  41
   1.69526,    2.17263,   -1.52400,    0.54301,   -1.87579,   -1.47362,    0.27477,Segment:  42
   1.72701,    2.12424,   -1.52400,    0.55029,   -1.94361,   -1.45381,    0.30644,Segment:  43
   1.75931,    2.07501,   -1.52400,    0.55893,   -2.01089,   -1.43189,    0.34063,Segment:  44
   1.79218,    2.02492,   -1.52400,    0.56905,   -2.07750,   -1.40770,    0.37767,Segment:  45
   1.82561,    1.97397,   -1.52400,    0.58077,   -2.14332,   -1.38113,    0.41785,Segment:  46
   1.85963,    1.92212,   -1.52400,    0.59419,   -2.20821,   -1.35202,    0.46141,Segment:  47
   1.89426,    1.86936,   -1.52400,    0.60944,   -2.27205,   -1.32021,    0.50852,Segment:  48
   1.92952,    1.81561,   -1.52400,    0.62662,   -2.33472,   -1.28554,    0.55924,Segment:  49
   1.96548,    1.76081,   -1.52400,    0.64585,   -2.39607,   -1.24786,    0.61346,Segment:  50
   2.03975,    1.64762,   -1.52400,    0.69094,   -2.51435,   -1.16289,    0.73067,Segment:  51
   2.07830,    1.58888,   -1.52400,    0.71702,   -2.57101,   -1.11541,    0.79198,Segment:  52
   2.11798,    1.52840,   -1.52400,    0.74561,   -2.62585,   -1.06452,    0.85326,Segment:  53
   2.15900,    1.46589,   -1.52400,    0.77682,   -2.67875,   -1.01027,    0.91256,Segment:  54
   2.20164,    1.40091,   -1.52400,    0.81077,   -2.72957,   -0.95279,    0.96747,Segment:  55
   2.24625,    1.33292,   -1.52400,    0.84757,   -2.77818,   -0.89229,    1.01526,Segment:  56
   2.29329,    1.26122,   -1.52400,    0.88735,   -2.82446,   -0.82911,    1.05309,Segment:  57
   2.34341,    1.18485,   -1.52400,    0.93020,   -2.86828,   -0.76371,    1.07829,Segment:  58
   2.39746,    1.10248,   -1.52400,    0.97625,   -2.90952,   -0.69664,    1.08875,Segment:  59
   2.45667,    1.01224,   -1.52400,    1.02562,   -2.94803,   -0.62855,    1.08324,Segment:  60
   2.52291,    0.91128,   -1.52400,    1.07841,   -2.98370,   -0.56013,    1.06166,Segment:  61
   2.59926,    0.79493,   -1.52400,    1.13474,   -3.01639,   -0.49209,    1.02507,Segment:  62
   2.69157,    0.65425,   -1.52400,    1.19472,   -3.04599,   -0.42511,    0.97558,Segment:  63
   2.81467,    0.46665,   -1.52400,    1.25848,   -3.07235,   -0.35981,    0.91604,Segment:  64
   3.12087,    0.00000,   -1.52400,    1.32611,   -3.09536,   -0.29671,    0.84964,Segment:  65
#======= TRAJECTORY END: DionisioPAE
