#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.644       0.732       1.571       0.000       0.000       0.000       0.200
#--------Waypoint:     7.644       1.773       1.553       1.041      -0.000      -0.017       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,    0.02774,Segment:  1
   0.31523,    0.48041,    1.52400,    0.07572,    0.00008,    0.00208,    0.02706,Segment:  2
   0.43947,    0.66976,    1.52400,    0.14717,    0.00030,    0.00395,    0.02481,Segment:  3
   0.53114,    0.80945,    1.52400,    0.21496,    0.00062,    0.00550,    0.02066,Segment:  4
   0.60587,    0.92334,    1.52400,    0.27971,    0.00101,    0.00665,    0.01445,Segment:  5
   0.72678,    1.10762,    1.52354,    0.40249,    0.00190,    0.00740,   -0.00352,Segment:  6
   0.82641,    1.25940,   -1.52400,    0.52040,    0.00270,    0.00573,   -0.02484,Segment:  7
   0.92603,    1.10757,   -1.52400,    0.63830,    0.00316,    0.00170,   -0.04221,Segment:  8
   1.04694,    0.92331,   -1.52400,    0.76107,    0.00302,   -0.00409,   -0.05029,Segment:  9
   1.12166,    0.80943,   -1.52400,    0.82581,    0.00265,   -0.00737,   -0.05061,Segment:  10
   1.21332,    0.66974,   -1.52400,    0.89360,    0.00203,   -0.01075,   -0.04892,Segment:  11
   1.33756,    0.48040,   -1.52400,    0.96504,    0.00114,   -0.01414,   -0.04578,Segment:  12
   1.65278,    0.00000,   -1.52400,    1.04075,   -0.00005,   -0.01745,   -0.04171,Segment:  13
#======= TRAJECTORY END: DionisioPAE
