#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.644       0.732      -1.588       0.000       0.000       0.000       0.200
#--------Waypoint:     8.354       1.580      -2.635      -0.860       0.696      -1.047       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  TRUE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,   -0.00000,   -1.52400,    0.00000,   -0.00000,    0.00000,    1.06357,Segment:  1
   0.23136,   -0.35259,   -1.52400,   -0.04078,    0.00091,   -0.04511,    1.14821,Segment:  2
   0.32455,   -0.49462,   -1.52400,   -0.08016,    0.00360,   -0.09206,    1.23006,Segment:  3
   0.39446,   -0.60116,   -1.52400,   -0.11821,    0.00804,   -0.14065,    1.30638,Segment:  4
   0.45221,   -0.68917,   -1.52400,   -0.15496,    0.01418,   -0.19062,    1.37427,Segment:  5
   0.50219,   -0.76534,   -1.52400,   -0.19046,    0.02196,   -0.24164,    1.43083,Segment:  6
   0.54670,   -0.83317,   -1.52400,   -0.22477,    0.03136,   -0.29335,    1.47350,Segment:  7
   0.58713,   -0.89479,   -1.52400,   -0.25794,    0.04233,   -0.34535,    1.50023,Segment:  8
   0.62441,   -0.95161,   -1.52400,   -0.29001,    0.05481,   -0.39720,    1.50974,Segment:  9
   0.65920,   -1.00462,   -1.52400,   -0.32104,    0.06878,   -0.44848,    1.50164,Segment:  10
   0.69198,   -1.05457,   -1.52400,   -0.35107,    0.08417,   -0.49879,    1.47644,Segment:  11
   0.72312,   -1.10203,   -1.52400,   -0.38015,    0.10095,   -0.54772,    1.43550,Segment:  12
   0.75291,   -1.14744,   -1.52400,   -0.40834,    0.11908,   -0.59496,    1.38083,Segment:  13
   0.78160,   -1.19116,   -1.52400,   -0.43568,    0.13851,   -0.64020,    1.31486,Segment:  14
   0.80936,   -1.23346,   -1.52400,   -0.46223,    0.15919,   -0.68321,    1.24022,Segment:  15
   0.86266,   -1.31469,    0.71332,   -0.51313,    0.20415,   -0.76192,    1.07522,Segment:  16
   0.91601,   -1.27663,    1.52400,   -0.56143,    0.25360,   -0.83031,    0.90380,Segment:  17
   0.97334,   -1.18925,    1.52400,   -0.60754,    0.30718,   -0.88828,    0.73851,Segment:  18
   1.03688,   -1.09242,    1.52400,   -0.65184,    0.36455,   -0.93618,    0.58634,Segment:  19
   1.10859,   -0.98315,    1.52400,   -0.69475,    0.42535,   -0.97462,    0.45004,Segment:  20
   1.19163,   -0.85659,    1.52400,   -0.73665,    0.48922,   -1.00429,    0.32965,Segment:  21
   1.29208,   -0.70350,    1.52400,   -0.77794,    0.55582,   -1.02586,    0.22375,Segment:  22
   1.42545,   -0.50024,    1.52400,   -0.81902,    0.62478,   -1.03998,    0.13032,Segment:  23
   1.75370,   -0.00000,    1.52400,   -0.86029,    0.69575,   -1.04720,    0.04724,Segment:  24
#======= TRAJECTORY END: DionisioPAE
