#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.355       1.580      -2.635       0.000      -0.000       0.000       0.200
#--------Waypoint:     5.493       2.062      -3.019       2.269      -1.809      -0.384       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,   -0.00000,    0.00000,   -0.67979,Segment:  1
   0.37237,    0.56750,    1.52400,    0.10559,   -0.00395,   -0.07640,   -0.76584,Segment:  2
   0.51957,    0.79183,    1.52400,    0.20496,   -0.01554,   -0.15695,   -0.84247,Segment:  3
   0.62863,    0.95804,    1.52400,    0.29851,   -0.03432,   -0.24033,   -0.90152,Segment:  4
   0.71806,    1.09432,    1.52400,    0.38665,   -0.05989,   -0.32486,   -0.93577,Segment:  5
   0.79527,    1.21199,    1.52400,    0.46976,   -0.09181,   -0.40865,   -0.94077,Segment:  6
   0.86418,    1.31702,    1.52400,    0.54825,   -0.12967,   -0.48978,   -0.91597,Segment:  7
   0.92718,    1.41303,    1.52400,    0.62252,   -0.17303,   -0.56654,   -0.86470,Segment:  8
   0.98583,    1.50241,    1.52400,    0.69295,   -0.22149,   -0.63754,   -0.79298,Segment:  9
   1.04119,    1.58677,    1.52400,    0.75996,   -0.27460,   -0.70178,   -0.70788,Segment:  10
   1.09400,    1.66725,    1.52400,    0.82393,   -0.33195,   -0.75868,   -0.61599,Segment:  11
   1.14477,    1.74464,    1.52400,    0.88527,   -0.39312,   -0.80799,   -0.52255,Segment:  12
   1.19389,    1.81949,    1.52400,    0.94437,   -0.45768,   -0.84970,   -0.43115,Segment:  13
   1.24160,    1.89220,    1.52400,    1.00163,   -0.52521,   -0.88397,   -0.34388,Segment:  14
   1.28808,    1.96303,    1.52400,    1.05745,   -0.59529,   -0.91105,   -0.26160,Segment:  15
   1.33344,    2.03217,    1.52400,    1.11223,   -0.66748,   -0.93121,   -0.18438,Segment:  16
   1.37778,    2.09974,    0.33312,    1.16636,   -0.74137,   -0.94474,   -0.11176,Segment:  17
   1.42167,    2.11436,   -1.52400,    1.22025,   -0.81654,   -0.95186,   -0.04300,Segment:  18
   1.46651,    2.04603,   -1.52400,    1.27428,   -0.89255,   -0.95278,    0.02274,Segment:  19
   1.51323,    1.97483,   -1.52400,    1.32887,   -0.96900,   -0.94764,    0.08629,Segment:  20
   1.56199,    1.90051,   -1.52400,    1.38440,   -1.04544,   -0.93655,    0.14836,Segment:  21
   1.61299,    1.82279,   -1.52400,    1.44127,   -1.12147,   -0.91955,    0.20949,Segment:  22
   1.66649,    1.74126,   -1.52400,    1.49988,   -1.19665,   -0.89669,    0.26994,Segment:  23
   1.72282,    1.65540,   -1.52400,    1.56064,   -1.27057,   -0.86800,    0.32966,Segment:  24
   1.78247,    1.56450,   -1.52400,    1.62393,   -1.34279,   -0.83351,    0.38816,Segment:  25
   1.84609,    1.46755,   -1.52400,    1.69015,   -1.41290,   -0.79333,    0.44450,Segment:  26
   1.91461,    1.36313,   -1.52400,    1.75971,   -1.48047,   -0.74763,    0.49722,Segment:  27
   1.98941,    1.24913,   -1.52400,    1.83300,   -1.54508,   -0.69668,    0.54439,Segment:  28
   2.07265,    1.12226,   -1.52400,    1.91042,   -1.60631,   -0.64092,    0.58377,Segment:  29
   2.16798,    0.97698,   -1.52400,    1.99236,   -1.66372,   -0.58094,    0.61306,Segment:  30
   2.28246,    0.80252,   -1.52400,    2.07923,   -1.71691,   -0.51750,    0.63027,Segment:  31
   2.43411,    0.57140,   -1.52400,    2.17142,   -1.76543,   -0.45150,    0.63411,Segment:  32
   2.80905,    0.00000,   -1.52400,    2.26933,   -1.80888,   -0.38397,    0.62432,Segment:  33
#======= TRAJECTORY END: DionisioPAE
