#======= TRAJECTORY BEGIN: DionisioPAE
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     8.352       1.554      -2.635       0.000       0.000       0.000       0.200
#--------Waypoint:     5.550       2.081      -2.758       2.194      -1.819      -0.122       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          3.04800  m/s
#--------Maximum Acceleration:      1.52400  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          3.04800  m/s
#--------Track width:               0.64008  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Robot Relative
#--------Use Waypoint Weights:   No
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    1.52400,    0.00000,    0.00000,    0.00000,   -0.86165,Segment:  1
   0.26267,    0.40031,    1.52400,    0.05256,   -0.00122,   -0.04686,   -0.92087,Segment:  2
   0.36861,    0.56176,    1.52400,    0.10339,   -0.00482,   -0.09522,   -0.97642,Segment:  3
   0.44816,    0.68300,    1.52400,    0.15255,   -0.01074,   -0.14484,   -1.02638,Segment:  4
   0.51396,    0.78328,    1.52400,    0.20009,   -0.01890,   -0.19541,   -1.06887,Segment:  5
   0.57097,    0.87015,    1.52400,    0.24608,   -0.02923,   -0.24660,   -1.10216,Segment:  6
   0.62177,    0.94758,    1.52400,    0.29055,   -0.04164,   -0.29807,   -1.12488,Segment:  7
   0.66795,    1.01796,    1.52400,    0.33358,   -0.05608,   -0.34942,   -1.13606,Segment:  8
   0.71054,    1.08287,    1.52400,    0.37521,   -0.07246,   -0.40028,   -1.13534,Segment:  9
   0.75028,    1.14343,    1.52400,    0.41550,   -0.09071,   -0.45028,   -1.12287,Segment:  10
   0.78770,    1.20046,    1.52400,    0.45451,   -0.11076,   -0.49905,   -1.09937,Segment:  11
   0.82323,    1.25460,    1.52400,    0.49229,   -0.13253,   -0.54630,   -1.06597,Segment:  12
   0.85717,    1.30633,    1.52400,    0.52890,   -0.15595,   -0.59175,   -1.02415,Segment:  13
   0.92125,    1.40399,    1.52400,    0.59882,   -0.20745,   -0.67642,   -0.92179,Segment:  14
   0.98144,    1.49572,    1.52400,    0.66472,   -0.26467,   -0.75185,   -0.80516,Segment:  15
   1.03871,    1.58299,    1.52400,    0.72704,   -0.32701,   -0.81752,   -0.68487,Segment:  16
   1.09367,    1.66675,    1.52400,    0.78623,   -0.39389,   -0.87342,   -0.56811,Segment:  17
   1.14673,    1.74762,    1.52400,    0.84272,   -0.46471,   -0.91986,   -0.45873,Segment:  18
   1.19817,    1.82601,    1.52400,    0.89697,   -0.53889,   -0.95731,   -0.35807,Segment:  19
   1.24812,    1.90214,    1.52400,    0.94942,   -0.61583,   -0.98629,   -0.26585,Segment:  20
   1.29669,    1.97615,    1.52400,    1.00050,   -0.69495,   -1.00727,   -0.18081,Segment:  21
   1.34392,    2.04813,    1.52400,    1.05068,   -0.77566,   -1.02063,   -0.10125,Segment:  22
   1.38983,    2.11810,   -0.81165,    1.10039,   -0.85736,   -1.02666,   -0.02526,Segment:  23
   1.43554,    2.08100,   -1.52400,    1.15007,   -0.93948,   -1.02550,    0.04914,Segment:  24
   1.48249,    2.00944,   -1.52400,    1.20017,   -1.02140,   -1.01721,    0.12385,Segment:  25
   1.53108,    1.93539,   -1.52400,    1.25113,   -1.10256,   -1.00168,    0.20067,Segment:  26
   1.58136,    1.85876,   -1.52400,    1.30340,   -1.18235,   -0.97874,    0.28120,Segment:  27
   1.63345,    1.77938,   -1.52400,    1.35743,   -1.26020,   -0.94809,    0.36670,Segment:  28
   1.68751,    1.69699,   -1.52400,    1.41365,   -1.33550,   -0.90940,    0.45780,Segment:  29
   1.74382,    1.61118,   -1.52400,    1.47251,   -1.40766,   -0.86232,    0.55418,Segment:  30
   1.80276,    1.52136,   -1.52400,    1.53446,   -1.47611,   -0.80656,    0.65402,Segment:  31
   1.86494,    1.42659,   -1.52400,    1.59993,   -1.54025,   -0.74203,    0.75348,Segment:  32
   1.93127,    1.32550,   -1.52400,    1.66938,   -1.59948,   -0.66892,    0.84637,Segment:  33
   2.00316,    1.21594,   -1.52400,    1.74325,   -1.65322,   -0.58787,    0.92437,Segment:  34
   2.04184,    1.15699,   -1.52400,    1.78198,   -1.67785,   -0.54472,    0.95489,Segment:  35
   2.08285,    1.09450,   -1.52400,    1.82198,   -1.70089,   -0.50007,    0.97825,Segment:  36
   2.12669,    1.02768,   -1.52400,    1.86330,   -1.72225,   -0.45416,    0.99353,Segment:  37
   2.17409,    0.95544,   -1.52400,    1.90601,   -1.74188,   -0.40727,    1.00004,Segment:  38
   2.22607,    0.87623,   -1.52400,    1.95016,   -1.75969,   -0.35969,    0.99742,Segment:  39
   2.28417,    0.78768,   -1.52400,    1.99580,   -1.77561,   -0.31172,    0.98567,Segment:  40
   2.35096,    0.68590,   -1.52400,    2.04299,   -1.78957,   -0.26368,    0.96518,Segment:  41
   2.43137,    0.56335,   -1.52400,    2.09178,   -1.80149,   -0.21589,    0.93669,Segment:  42
   2.53798,    0.40087,   -1.52400,    2.14223,   -1.81131,   -0.16862,    0.90123,Segment:  43
   2.80102,    0.00000,   -1.52400,    2.19440,   -1.81894,   -0.12217,    0.86006,Segment:  44
#======= TRAJECTORY END: DionisioPAE
